         Part Number       Quantity   Unit Cost  Unit Price     Total Cost    Total Price
            76502369               7        12.35        16.47           86.45          115.29
            60410146              21        26.93        32.34          565.53          679.14
            30174319              22        29.51        33.43          649.22          735.46
            77086936              79        19.91        25.81         1572.89         2038.99
            71852096              57        26.92        30.71         1534.44         1750.47
            41555059              44        27.38        32.97         1204.72         1450.68
            32895121              61        28.99        32.57         1768.39         1986.77
            80101956              97        23.40        28.25         2269.80         2740.25
            61965647              88        24.88        29.03         2189.44         2554.64
            40749682              96        14.45        19.50         1387.20         1872.00
            81912584              99        26.86        31.94         2659.14         3162.06
            62283911               7        15.50        21.11          108.50          147.77
            37413158              28        28.57        33.34          799.96          933.52
            59333352              73        25.88        29.43         1889.24         2148.39
            88550476              20        21.62        24.86          432.40          497.20
            31641263              48        20.95        26.17         1005.60         1256.16
            56886748              18        24.94        30.92          448.92          556.56
            85598406              64        10.32        14.12          660.48          903.68
            58485457               5        23.64        28.18          118.20          140.90
            56827836              55        15.74        20.17          865.70         1109.35
            86012790               1        11.18        15.75           11.18           15.75
            32728517              82        15.43        19.58         1265.26         1605.56
            74375297              31        12.28        18.21          380.68          564.51
            40160899              46        10.83        14.53          498.18          668.38
            79195238              21        11.38        15.86          238.98          333.06
            60683021               2        18.36        23.75           36.72           47.50
            53717044              66        16.04        20.59         1058.64         1358.94
            77086674              85        18.06        23.88         1535.10         2029.80
            58759637              78        15.20        18.21         1185.60         1420.38
            69730813              84        12.39        17.64         1040.76         1481.76
            43051474              81        20.39        25.20         1651.59         2041.20
            44481271              78        27.03        32.21         2108.34         2512.38
            49996948              32        21.50        26.64          688.00          852.48
            66314342              42        21.79        27.58          915.18         1158.36
            15963630               5        29.36        32.93          146.80          164.65
            35537534              60        27.18        32.16         1630.80         1929.60
            34092153               3        23.76        29.20           71.28           87.60
            70178351               1        19.18        24.56           19.18           24.56
            41818150              51        13.22        18.99          674.22          968.49
            66028170              21        17.59        23.57          369.39          494.97
            57630177              38        26.52        29.81         1007.76         1132.78
